hs_class,text
positive,cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego
positive,kaum cebong kafir lihat dongok dungu haha
positive,ya bani taplak kawan kawan 
positive,gue jari gue ukur nyali bacot 
positive,banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator
positive,aktor huru hara 98 prabowo si lengser perintah jokowi nyata
positive,bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru
positive,lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar
positive,cowok gantle gantle nama banci
positive,sih kerja delay mulu setan
positive,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong
positive,nenek nenek heran cebong bohong
positive,islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi
positive,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari
positive,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law
positive,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta
positive,didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila
positive,ahok the best abai kaum kampret otak micin
positive,sih otak tempurung laden lawan dungu makan hehe
positive,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu 
positive,pinokio umur 3 2019 ganti presiden
positive,benci umat islam
positive,provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas
positive,wkwk bani lowo
positive,kali gue gemar korea pop omong teman teman gue idol gue banci homo
positive,lengser jokowi bangsat
positive,bajing homo hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator
positive,iya cocot
positive,icara bangkai
positive,nikmat bijak usul partai komunis indonesia iya
positive,umpama orang cina usir paksa indonesia
positive,cina babi cina maling usir cina hypertetransfer protocol over secure socket layer t co 9y4hiwhjp2
positive,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator
positive,kitab suci agama bilang om dadak kalap
positive,eh kasar kampang
positive,cebong bang
positive,transgender anjing uniform resource locator
positive,gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh
positive,salah target ahok agenda utama lengser jokowi
positive,kena tagar panas banget 2019 ganti presiden
positive,prabowo kalah bantu jokowi citra ratap pilu
positive,goblok bani cebong tukang tipu jilat kuasa gera bayar pakai nasi bungkus propaganda nasi bungkus gagal
positive,cebong sewot 
positive,gubernur djarot mayoritas ai politik dewan wakil rakyat daerah dukung ahok djarot payah ya uniform resource locator
positive,anak pecun hobi zina haha
positive,daftar calon presiden pilih presiden 2019 buka agustus 2018 normatif politikus partai demokrasi indonesia juang paham 2019 ganti presiden
positive,sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong uniform resource locator
positive,cina usak bangsa usir tuju
positive,2019 ganti presiden konstitusional hak rakyat woiii nih plonga plongo laku otoriter
positive,kroasia kafir tau ajar kafir lupa kapling sorga
positive,nya menteri suha o homo
positive,kejar setor bangsat rupiah turun 
positive,moga tindak lapor hadap nista agama adek armando laku langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat perhaps
positive,bangkai hajar
positive,onta mati minum
positive,uniform resource locator ahok tng was was hidup
positive,sul teng ekses akibat sandera hutang cina 2019 ganti presiden 2019 presiden 2019 jokowi ganti
positive,be aji nya komisi berantas korupsi era era komitmen berantas korupsi surat pemberitahuan era susilo bambang yudhoyono
positive,admin tolol ai tolol ai tolol orang tolol
positive,jokowi mundur tutup uniform resource locator
positive,bicara mulut sepe i banci beli kaca lihat bro
positive,amin racist nada nada ratna sih paiiit nada sih onta nada sih lobang anus takut oi oi habis obat tenang ya
positive,tunggu komando imam bejat cabul tai bir bawa ulama dasar banj sempak
positive,kabinet beranta pecah belah rezim
positive,ih pintar orang politik kaca oi tampang k k orang bego wkwk
positive,partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing
positive,percaya mulut buaya mu bawang
positive,kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi
positive,umuh persib persib kunyuk 
positive,film muslim pilih ahok mati salat jamin laris
positive,berita saracen diframing katak tim prabowo anies sandi media tumpah sakit hati katak cebong ehe
positive,cebong bilang kemarin eyel situ paksa cebong
positive,lemah gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan durno
positive,nasihat kali ugal ugalan nih rezim eh negeri keburu hancur ekonomi moral meni kacaoooooo
positive,2019 rakyat makan aspal beton solusi jitu miskin ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme 2019 ganti presiden
positive,kemarin hujat harap dasar bani kampret
positive,fitnah sila ban apollinaris darmawan al alquran kitab sampah
positive,monyet koloe bilang saudara ogah hidup ya hati comberan
positive,becak warga binjai sita tenda be uliskan 2019 ganti presiden partai adil sejahtera radang bukti perintah panik takut
positive,jokowi mundur
positive,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi
positive,sih tai doang belaganya langit karma idol flop gue tertawa keras
positive,maju maki mama bolot
positive,gerombol kadal jidat gosong suka ribut gerombol salah pura pura budek dasar gerombol cingkrang uniform resource locator
positive,saracen akun kritis anggap saracen aneh jokowi
positive,bego teman gue najis kesal gue
positive,kafir kristen ulah
positive,tau bau bau cir sipit buluk
positive,onta yaman nih gue depo asi
positive,anak cocot ya
positive, udah hoaks ya fahri ambil berita tuyg tong sampah ambil screenshoot tau berita
positive,indonesia mundur bentuk
positive,haha blunder cebong protein energy malnutrition pusat alas ham rakyat aceh ya kali coba perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat a
positive,cebong kacung teman gue dungu tulang sumsum buang buang energi debat 
positive,ai korupsi sapi goblok
positive,sinyal kontol pelihara niat sih login twitter doang susah open redtube setan
positive,nikita mirzani pakai hijab bicara cebang cebong fantasi uh ah cokorers
positive,laku bodoh masuk kategori senang laku sontoloyo menganggu bangsa laku naif langsung bentuk intimidasi hadap ulama laku
positive,kotor bahagia warga cebong nge i
positive,buka busuk kubu anies sandi menang berkah uniform resource locator prabowo usaha cuci tangan
positive,kayak orang bego bro b ego
positive,mahfud md allah subhanahu wa taala berang bangsa ajak buang islam
positive,orang orang bego minum amp makan kotor onta otak nya somplak
positive,kuak strategi kampanye tim menang anies sandi uniform resource locator
